	eco	name	fen	moves	pgn
79	D03	Queen's Pawn Game: Torre Attack, Grünfeld Variation	rnbqkb1r/ppp1pp1p/5np1/3p2B1/3P4/5N2/PPP1PPPP/RN1QKB1R w KQkq -	d2d4 d7d5 g1f3 g8f6 c1g5 g7g6	1. d2 d4 2. d7 d5 3. g1 f3 4. g8 f6 5. c1 g5 6. g7 g6 
80	D03	Queen's Pawn Game: Torre Attack	rnbqkb1r/ppp1pppp/5n2/3p2B1/3P4/5N2/PPP1PPPP/RN1QKB1R b KQkq -	d2d4 d7d5 g1f3 g8f6 c1g5	1. d2 d4 2. d7 d5 3. g1 f3 4. g8 f6 5. c1 g5 
81	D04	Queen's Pawn Game: Colle System, Anti-Colle	rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/4PN2/PPP2PPP/RNBQKB1R w KQkq -	d2d4 d7d5 g1f3 g8f6 e2e3 c8f5	1. d2 d4 2. d7 d5 3. g1 f3 4. g8 f6 5. e2 e3 6. c8 f5 
82	D04	Queen's Pawn Game: Colle System, Grünfeld Formation	rnbqk2r/ppp1ppbp/5np1/3p4/3P4/3BPN2/PPP2PPP/RNBQK2R w KQkq -	d2d4 d7d5 g1f3 g8f6 e2e3 g7g6 f1d3 f8g7	1. d2 d4 2. d7 d5 3. g1 f3 4. g8 f6 5. e2 e3 6. g7 g6 7. f1 d3 8. f8 g7 
83	D04	Queen's Pawn Game: Colle System	rnbqkb1r/ppp1pppp/5n2/3p4/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq -	d2d4 d7d5 g1f3 g8f6 e2e3	1. d2 d4 2. d7 d5 3. g1 f3 4. g8 f6 5. e2 e3 
84	D05	Colle System	rnbqkb1r/ppp2ppp/4pn2/3p4/3P4/3BPN2/PPP2PPP/RNBQK2R b KQkq -	d2d4 d7d5 g1f3 g8f6 e2e3 e7e6 f1d3	1. d2 d4 2. d7 d5 3. g1 f3 4. g8 f6 5. e2 e3 6. e7 e6 7. f1 d3 
85	D05	Colle System	rnbqkb1r/ppp2ppp/4pn2/3p4/3P4/4PN2/PPP2PPP/RNBQKB1R w KQkq -	d2d4 d7d5 g1f3 g8f6 e2e3 e7e6	1. d2 d4 2. d7 d5 3. g1 f3 4. g8 f6 5. e2 e3 6. e7 e6 
86	D05	Colle System: Traditional Colle	rnbqkb1r/pp3ppp/4pn2/2pp4/3P4/2PBPN2/PP3PPP/RNBQK2R b KQkq -	d2d4 g8f6 g1f3 e7e6 e2e3 c7c5 f1d3 d7d5 c2c3	1. d2 d4 2. g8 f6 3. g1 f3 4. e7 e6 5. e2 e3 6. c7 c5 7. f1 d3 8. d7 d5 9. c2 c3 
87	D05	Queen's Pawn Game, Zukertort Variation	rnbqkb1r/pp3ppp/4pn2/2pp4/3P4/1P2PN2/P1PN1PPP/R1BQKB1R b KQkq -	d2d4 d7d5 g1f3 c7c5 e2e3 g8f6 b1d2 e7e6 b2b3	1. d2 d4 2. d7 d5 3. g1 f3 4. c7 c5 5. e2 e3 6. g8 f6 7. b1 d2 8. e7 e6 9. b2 b3 
88	D05	Rubinstein Opening: Bogoljubov Defense	r1bq1rk1/pp3ppp/2nbpn2/2pp4/3P4/1P1BPN2/PBP2PPP/RN1Q1RK1 w - -	d2d4 g8f6 g1f3 e7e6 e2e3 c7c5 f1d3 d7d5 b2b3 b8c6 e1g1 f8d6 c1b2 e8g8	1. d2 d4 2. g8 f6 3. g1 f3 4. e7 e6 5. e2 e3 6. c7 c5 7. f1 d3 8. d7 d5 9. b2 b3 10. b8 c6 11. e1 g1 12. f8 d6 13. c1 b2 14. e8 g8 
89	D05	Rubinstein Opening: Classical Defense	r1bq1rk1/pp2bppp/2n1pn2/2pp4/3P4/1P1BPN2/PBP2PPP/RN1Q1RK1 w - -	d2d4 g8f6 g1f3 e7e6 e2e3 c7c5 f1d3 d7d5 b2b3 b8c6 e1g1 f8e7 c1b2 e8g8	1. d2 d4 2. g8 f6 3. g1 f3 4. e7 e6 5. e2 e3 6. c7 c5 7. f1 d3 8. d7 d5 9. b2 b3 10. b8 c6 11. e1 g1 12. f8 e7 13. c1 b2 14. e8 g8 
90	D05	Rubinstein Opening	rnbqkb1r/pp3ppp/4pn2/2pp4/3P4/1P1BPN2/P1P2PPP/RNBQK2R b KQkq -	d2d4 g8f6 g1f3 e7e6 e2e3 c7c5 f1d3 d7d5 b2b3	1. d2 d4 2. g8 f6 3. g1 f3 4. e7 e6 5. e2 e3 6. c7 c5 7. f1 d3 8. d7 d5 9. b2 b3 
91	D05	Rubinstein Opening: Semi-Slav Defense	r1bq1rk1/pppn1ppp/3bpn2/3p4/3P4/1P1BPN2/PBP2PPP/RN1Q1RK1 b - -	d2d4 d7d5 g1f3 g8f6 e2e3 e7e6 f1d3 f8d6 e1g1 e8g8 b2b3 b8d7 c1b2	1. d2 d4 2. d7 d5 3. g1 f3 4. g8 f6 5. e2 e3 6. e7 e6 7. f1 d3 8. f8 d6 9. e1 g1 10. e8 g8 11. b2 b3 12. b8 d7 13. c1 b2 
92	D06	Queen's Gambit Refused: Austrian Attack, Salvio Countergambit	rnbqkbnr/pp2pppp/8/2P5/2Pp4/8/PP2PPPP/RNBQKBNR w KQkq -	d2d4 d7d5 c2c4 c7c5 d4c5 d5d4	1. d2 d4 2. d7 d5 3. c2 c4 4. c7 c5 5. d4 c5 6. d5 d4 
93	D06	Queen's Gambit Refused: Austrian Defense, Gusev Countergambit	rnbqkb1r/pp2pppp/5n2/2pP4/3P4/8/PP2PPPP/RNBQKBNR w KQkq -	d2d4 d7d5 c2c4 c7c5 c4d5 g8f6	1. d2 d4 2. d7 d5 3. c2 c4 4. c7 c5 5. c4 d5 6. g8 f6 
94	D06	Queen's Gambit Refused: Austrian Defense, Haberditz Variation	rnb1kb1r/pp2pppp/8/q1PP4/4n3/8/PP3PPP/RNBQKBNR w KQkq -	d2d4 d7d5 c2c4 c7c5 c4d5 g8f6 e2e4 f6e4 d4c5 d8a5	1. d2 d4 2. d7 d5 3. c2 c4 4. c7 c5 5. c4 d5 6. g8 f6 7. e2 e4 8. f6 e4 9. d4 c5 10. d8 a5 
95	D06	Queen's Gambit Refused: Austrian Defense	rnbqkbnr/pp2pppp/8/2pp4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -	d2d4 d7d5 c2c4 c7c5	1. d2 d4 2. d7 d5 3. c2 c4 4. c7 c5 
96	D06	Queen's Gambit Refused: Baltic Defense, Argentinian Gambit	r2qkbnr/pp2pppp/2n5/8/Q2P4/8/PP2PPPP/RbB1KBNR w KQkq -	d2d4 d7d5 c2c4 c8f5 c4d5 f5b1 d1a4 c7c6 d5c6 b8c6	1. d2 d4 2. d7 d5 3. c2 c4 4. c8 f5 5. c4 d5 6. f5 b1 7. d1 a4 8. c7 c6 9. d5 c6 10. b8 c6 
97	D06	Queen's Gambit Refused: Baltic Defense, Pseudo-Chigorin	r2qkbnr/ppp2ppp/2n1p3/3p1b2/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -	d2d4 d7d5 c2c4 c8f5 b1c3 e7e6 g1f3 b8c6	1. d2 d4 2. d7 d5 3. c2 c4 4. c8 f5 5. b1 c3 6. e7 e6 7. g1 f3 8. b8 c6 
98	D06	Queen's Gambit Refused: Baltic Defense, Queen Attack Deferred	rn1qkbnr/ppp2ppp/4p3/3p1b2/2PP4/1QN5/PP2PPPP/R1B1KBNR b KQkq -	d2d4 d7d5 c2c4 c8f5 b1c3 e7e6 d1b3	1. d2 d4 2. d7 d5 3. c2 c4 4. c8 f5 5. b1 c3 6. e7 e6 7. d1 b3 
99	D06	Queen's Gambit Refused: Baltic Defense, Queen Attack	rn1qkbnr/ppp1pppp/8/3p1b2/2PP4/1Q6/PP2PPPP/RNB1KBNR b KQkq -	d2d4 d7d5 c2c4 c8f5 d1b3	1. d2 d4 2. d7 d5 3. c2 c4 4. c8 f5 5. d1 b3 
100	D06	Queen's Gambit Refused: Baltic Defense	rn1qkbnr/ppp1pppp/8/3p1b2/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -	d2d4 d7d5 c2c4 c8f5	1. d2 d4 2. d7 d5 3. c2 c4 4. c8 f5 
101	D06	Queen's Gambit Refused: Marshall Defense	rnbqkb1r/ppp1pppp/5n2/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -	d2d4 d7d5 c2c4 g8f6	1. d2 d4 2. d7 d5 3. c2 c4 4. g8 f6 
102	D06	Queen's Gambit Refused: Marshall Defense, Tan Gambit	rnbqkb1r/pp2pppp/2p2n2/3P4/3P4/8/PP2PPPP/RNBQKBNR w KQkq -	d2d4 d7d5 c2c4 g8f6 c4d5 c7c6	1. d2 d4 2. d7 d5 3. c2 c4 4. g8 f6 5. c4 d5 6. c7 c6 
103	D06	Queen's Gambit Refused: Zilbermints Gambit	rnbqkbnr/p1p1pppp/8/1p1p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -	d2d4 d7d5 c2c4 b7b5	1. d2 d4 2. d7 d5 3. c2 c4 4. b7 b5 
104	D06	Queen's Gambit	rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq -	d2d4 d7d5 c2c4	1. d2 d4 2. d7 d5 3. c2 c4 
105	D07	Queen's Gambit Refused: Chigorin Defense, Exchange Variation, Costa's Line	r1b1k1nr/ppp2ppp/2n5/3q4/3p4/2B1P3/PP2NPPP/R2QKB1R b KQkq -	d2d4 d7d5 c2c4 b8c6 c4d5 d8d5 e2e3 e7e5 b1c3 f8b4 c1d2 b4c3 d2c3 e5d4 g1e2	1. d2 d4 2. d7 d5 3. c2 c4 4. b8 c6 5. c4 d5 6. d8 d5 7. e2 e3 8. e7 e5 9. b1 c3 10. f8 b4 11. c1 d2 12. b4 c3 13. d2 c3 14. e5 d4 15. g1 e2 
106	D07	Queen's Gambit Refused: Chigorin Defense, Exchange Variation	r1b1kbnr/ppp1pppp/2n5/3q4/3P4/8/PP2PPPP/RNBQKBNR w KQkq -	d2d4 d7d5 c2c4 b8c6 c4d5 d8d5	1. d2 d4 2. d7 d5 3. c2 c4 4. b8 c6 5. c4 d5 6. d8 d5 
107	D07	Queen's Gambit Refused: Chigorin Defense, Janowski Variation	r1bqkbnr/ppp1pppp/2n5/8/2pP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -	d2d4 d7d5 c2c4 b8c6 b1c3 d5c4 g1f3	1. d2 d4 2. d7 d5 3. c2 c4 4. b8 c6 5. b1 c3 6. d5 c4 7. g1 f3 
108	D07	Queen's Gambit Refused: Chigorin Defense, Lazard Gambit	r1bqkbnr/ppp2ppp/2n5/3pp3/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq -	d2d4 d7d5 c2c4 b8c6 g1f3 e7e5	1. d2 d4 2. d7 d5 3. c2 c4 4. b8 c6 5. g1 f3 6. e7 e5 
109	D07	Queen's Gambit Refused: Chigorin Defense, Main Line, Alekhine Variation	r2qkbnr/ppp1pppp/2n5/3p4/Q1PP2b1/5N2/PP2PPPP/RNB1KB1R b KQkq -	d2d4 d7d5 c2c4 b8c6 g1f3 c8g4 d1a4	1. d2 d4 2. d7 d5 3. c2 c4 4. b8 c6 5. g1 f3 6. c8 g4 7. d1 a4 
110	D07	Queen's Gambit Refused: Chigorin Defense, Main Line	r2qkbnr/ppp1pppp/2n5/3p4/2PP2b1/5N2/PP2PPPP/RNBQKB1R w KQkq -	d2d4 d7d5 c2c4 b8c6 g1f3 c8g4	1. d2 d4 2. d7 d5 3. c2 c4 4. b8 c6 5. g1 f3 6. c8 g4 
111	D07	Queen's Gambit Refused: Chigorin Defense, Modern Gambit	r1bqkb1r/ppp1pppp/2n2n2/8/2pP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -	d2d4 d7d5 c2c4 b8c6 b1c3 d5c4 g1f3 g8f6	1. d2 d4 2. d7 d5 3. c2 c4 4. b8 c6 5. b1 c3 6. d5 c4 7. g1 f3 8. g8 f6 
112	D07	Queen's Gambit Refused: Chigorin Defense	r1bqkbnr/ppp1pppp/2n5/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq -	d2d4 d7d5 c2c4 b8c6 b1c3	1. d2 d4 2. d7 d5 3. c2 c4 4. b8 c6 5. b1 c3 
113	D07	Queen's Gambit Refused: Chigorin Defense	r1bqkbnr/ppp1pppp/2n5/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -	d2d4 d7d5 c2c4 b8c6	1. d2 d4 2. d7 d5 3. c2 c4 4. b8 c6 
114	D07	Queen's Gambit Refused: Chigorin Defense	r1bqkbnr/ppp1pppp/2n5/8/2pP4/2N5/PP2PPPP/R1BQKBNR w KQkq -	d2d4 d7d5 c2c4 b8c6 b1c3 d5c4	1. d2 d4 2. d7 d5 3. c2 c4 4. b8 c6 5. b1 c3 6. d5 c4 
115	D07	Queen's Gambit Refused: Chigorin Defense, Tartakower Gambit	r1bqkbnr/ppp2ppp/2n5/3pp3/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq -	d2d4 d7d5 c2c4 b8c6 b1c3 e7e5	1. d2 d4 2. d7 d5 3. c2 c4 4. b8 c6 5. b1 c3 6. e7 e5 
116	D08	Queen's Gambit Declined: Albin Countergambit, Balogh Variation	r1b1kbnr/ppp1qppp/2n5/4P3/2Pp4/5N2/PP1NPPPP/R1BQKB1R w KQkq -	d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 g1f3 b8c6 b1d2 d8e7	1. d2 d4 2. d7 d5 3. c2 c4 4. e7 e5 5. d4 e5 6. d5 d4 7. g1 f3 8. b8 c6 9. b1 d2 10. d8 e7 
117	D08	Queen's Gambit Declined: Albin Countergambit, Janowski Variation	r1bqkbnr/ppp3pp/2n2p2/4P3/2Pp4/5N2/PP1NPPPP/R1BQKB1R w KQkq -	d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 g1f3 b8c6 b1d2 f7f6	1. d2 d4 2. d7 d5 3. c2 c4 4. e7 e5 5. d4 e5 6. d5 d4 7. g1 f3 8. b8 c6 9. b1 d2 10. f7 f6 
118	D08	Queen's Gambit Declined: Albin Countergambit, Krenosz Variation	r3k1nr/ppp1qppp/2n5/4P3/1bPp4/5N1P/PP1BPPP1/R2QKB1R w KQkq -	d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 g1f3 b8c6 b1d2 c8g4 h2h3 g4f3 d2f3 f8b4 c1d2 d8e7	1. d2 d4 2. d7 d5 3. c2 c4 4. e7 e5 5. d4 e5 6. d5 d4 7. g1 f3 8. b8 c6 9. b1 d2 10. c8 g4 11. h2 h3 12. g4 f3 13. d2 f3 14. f8 b4 15. c1 d2 16. d8 e7 
119	D08	Queen's Gambit Refused: Albin Countergambit, Lasker Trap	rnbqk1nr/ppp2ppp/8/4P3/1bP5/4p3/PP1B1PPP/RN1QKBNR w KQkq -	d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 e2e3 f8b4 c1d2 d4e3	1. d2 d4 2. d7 d5 3. c2 c4 4. e7 e5 5. d4 e5 6. d5 d4 7. e2 e3 8. f8 b4 9. c1 d2 10. d4 e3 
120	D08	Queen's Gambit Refused: Albin Countergambit, Modern Line	r1bqkbnr/ppp2ppp/2n5/4P3/2Pp4/5N2/PP1NPPPP/R1BQKB1R b KQkq -	d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 g1f3 b8c6 b1d2	1. d2 d4 2. d7 d5 3. c2 c4 4. e7 e5 5. d4 e5 6. d5 d4 7. g1 f3 8. b8 c6 9. b1 d2 
121	D08	Queen's Gambit Refused: Albin Countergambit, Normal Line	rnbqkbnr/ppp2ppp/8/4P3/2Pp4/5N2/PP2PPPP/RNBQKB1R b KQkq -	d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 g1f3	1. d2 d4 2. d7 d5 3. c2 c4 4. e7 e5 5. d4 e5 6. d5 d4 7. g1 f3 
122	D08	Queen's Gambit Refused: Albin Countergambit	rnbqkbnr/ppp2ppp/8/3pp3/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -	d2d4 d7d5 c2c4 e7e5	1. d2 d4 2. d7 d5 3. c2 c4 4. e7 e5 
123	D08	Queen's Gambit Refused: Albin Countergambit, Tartakower Defense	rnbqkbnr/pp3ppp/8/2p1P3/2Pp4/5N2/PP2PPPP/RNBQKB1R w KQkq -	d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 g1f3 c7c5	1. d2 d4 2. d7 d5 3. c2 c4 4. e7 e5 5. d4 e5 6. d5 d4 7. g1 f3 8. c7 c5 
124	D09	Queen's Gambit Refused: Albin Countergambit, Fianchetto Variation, Be6 Line	r2qkbnr/ppp2ppp/2n1b3/4P3/2Pp4/5NP1/PP2PP1P/RNBQKB1R w KQkq -	d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 g1f3 b8c6 g2g3 c8e6	1. d2 d4 2. d7 d5 3. c2 c4 4. e7 e5 5. d4 e5 6. d5 d4 7. g1 f3 8. b8 c6 9. g2 g3 10. c8 e6 
125	D09	Queen's Gambit Refused: Albin Countergambit, Fianchetto Variation, Bf5 Line	r2qkbnr/ppp2ppp/2n5/4Pb2/2Pp4/5NP1/PP2PP1P/RNBQKB1R w KQkq -	d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 g1f3 b8c6 g2g3 c8f5	1. d2 d4 2. d7 d5 3. c2 c4 4. e7 e5 5. d4 e5 6. d5 d4 7. g1 f3 8. b8 c6 9. g2 g3 10. c8 f5 
126	D09	Queen's Gambit Refused: Albin Countergambit, Fianchetto Variation, Bg4 Line	r2qkbnr/ppp2ppp/2n5/4P3/2Pp2b1/5NP1/PP2PP1P/RNBQKB1R w KQkq -	d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 g1f3 b8c6 g2g3 c8g4	1. d2 d4 2. d7 d5 3. c2 c4 4. e7 e5 5. d4 e5 6. d5 d4 7. g1 f3 8. b8 c6 9. g2 g3 10. c8 g4 
127	D09	Queen's Gambit Refused: Albin Countergambit, Fianchetto Variation	r1bqkbnr/ppp2ppp/2n5/4P3/2Pp4/5NP1/PP2PP1P/RNBQKB1R b KQkq -	d2d4 d7d5 c2c4 e7e5 d4e5 d5d4 g1f3 b8c6 g2g3	1. d2 d4 2. d7 d5 3. c2 c4 4. e7 e5 5. d4 e5 6. d5 d4 7. g1 f3 8. b8 c6 9. g2 g3 
128	D10	Slav Defense: Exchange Variation	rnbqkbnr/pp2pppp/2p5/3P4/3P4/8/PP2PPPP/RNBQKBNR b KQkq -	d2d4 d7d5 c2c4 c7c6 c4d5	1. d2 d4 2. d7 d5 3. c2 c4 4. c7 c6 5. c4 d5 
129	D10	Slav Defense	rnbqkbnr/pp2pppp/2p5/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq -	d2d4 d7d5 c2c4 c7c6 b1c3	1. d2 d4 2. d7 d5 3. c2 c4 4. c7 c6 5. b1 c3 
130	D10	Slav Defense	rnbqkbnr/pp2pppp/2p5/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -	d2d4 d7d5 c2c4 c7c6	1. d2 d4 2. d7 d5 3. c2 c4 4. c7 c6 
131	D10	Slav Defense	rnbqkbnr/pp2pppp/2p5/8/2pP4/2N5/PP2PPPP/R1BQKBNR w KQkq -	d2d4 d7d5 c2c4 c7c6 b1c3 d5c4	1. d2 d4 2. d7 d5 3. c2 c4 4. c7 c6 5. b1 c3 6. d5 c4 
132	D10	Slav Defense: Slav Gambit, Alekhine Attack	rnbqkbnr/pp2pppp/2p5/8/2pPP3/2N5/PP3PPP/R1BQKBNR b KQkq -	d2d4 d7d5 c2c4 c7c6 b1c3 d5c4 e2e4	1. d2 d4 2. d7 d5 3. c2 c4 4. c7 c6 5. b1 c3 6. d5 c4 7. e2 e4 
133	D10	Slav Defense: Winawer Countergambit, Anti-Winawer Gambit	rnbqkbnr/pp3ppp/2p5/3pp3/2PPP3/2N5/PP3PPP/R1BQKBNR b KQkq -	d2d4 d7d5 c2c4 c7c6 b1c3 e7e5 e2e4	1. d2 d4 2. d7 d5 3. c2 c4 4. c7 c6 5. b1 c3 6. e7 e5 7. e2 e4 
134	D10	Slav Defense: Winawer Countergambit	rnbqkbnr/pp3ppp/2p5/3pp3/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq -	d2d4 d7d5 c2c4 c7c6 b1c3 e7e5	1. d2 d4 2. d7 d5 3. c2 c4 4. c7 c6 5. b1 c3 6. e7 e5 
135	D11	Slav Defense: Bonet Gambit	rnbqkb1r/pp2pppp/2p2n2/3p2B1/2PP4/5N2/PP2PPPP/RN1QKB1R b KQkq -	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 c1g5	1. d2 d4 2. d7 d5 3. c2 c4 4. c7 c6 5. g1 f3 6. g8 f6 7. c1 g5 
136	D11	Slav Defense: Breyer Variation	rnbqkb1r/pp2pppp/2p2n2/3p4/2PP4/5N2/PP1NPPPP/R1BQKB1R b KQkq -	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1d2	1. d2 d4 2. d7 d5 3. c2 c4 4. c7 c6 5. g1 f3 6. g8 f6 7. b1 d2 
137	D11	Slav Defense: Modern Line	rnbqkbnr/pp2pppp/2p5/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq -	d2d4 d7d5 c2c4 c7c6 g1f3	1. d2 d4 2. d7 d5 3. c2 c4 4. c7 c6 5. g1 f3 
138	D11	Slav Defense: Modern	rnbqkb1r/pp2pppp/2p2n2/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq -	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6	1. d2 d4 2. d7 d5 3. c2 c4 4. c7 c6 5. g1 f3 6. g8 f6 
139	D11	Slav Defense: Quiet Variation, Pin Defense	rn1qkb1r/pp2pppp/2p2n2/3p4/2PP2b1/4PN2/PP3PPP/RNBQKB1R w KQkq -	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 c8g4	1. d2 d4 2. d7 d5 3. c2 c4 4. c7 c6 5. g1 f3 6. g8 f6 7. e2 e3 8. c8 g4 
140	D11	Slav Defense: Quiet Variation	rnbqkb1r/pp2pppp/2p2n2/3p4/2PP4/4PN2/PP3PPP/RNBQKB1R b KQkq -	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3	1. d2 d4 2. d7 d5 3. c2 c4 4. c7 c6 5. g1 f3 6. g8 f6 7. e2 e3 
141	D12	Queen's Gambit Declined: Slav, Amsterdam Variation	rn1qkb1r/pp1n1ppp/4p3/3pNb2/3P4/2N1P3/PP3PPP/R1BQKB1R w KQkq -	d2d4 d7d5 g1f3 g8f6 e2e3 c8f5 c2c4 c7c6 c4d5 c6d5 b1c3 e7e6 f3e5 f6d7	1. d2 d4 2. d7 d5 3. g1 f3 4. g8 f6 5. e2 e3 6. c8 f5 7. c2 c4 8. c7 c6 9. c4 d5 10. c6 d5 11. b1 c3 12. e7 e6 13. f3 e5 14. f6 d7 
142	D12	Queen's Gambit Declined: Slav, Landau Variation	rnq1kb1r/pp3ppp/4pn2/3p1b2/3P4/NQ2PN2/PP1B1PPP/R3KB1R b KQkq -	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 c8f5 c4d5 c6d5 d1b3 d8c8 c1d2 e7e6 b1a3	1. d2 d4 2. d7 d5 3. c2 c4 4. c7 c6 5. g1 f3 6. g8 f6 7. e2 e3 8. c8 f5 9. c4 d5 10. c6 d5 11. d1 b3 12. d8 c8 13. c1 d2 14. e7 e6 15. b1 a3 
143	D12	Slav Defense: Exchange Variation, Schallopp Variation	rn1qkb1r/pp2pppp/5n2/3p1b2/3P4/2N1PN2/PP3PPP/R1BQKB1R b KQkq -	d2d4 d7d5 g1f3 g8f6 e2e3 c8f5 c2c4 c7c6 c4d5 c6d5 b1c3	1. d2 d4 2. d7 d5 3. g1 f3 4. g8 f6 5. e2 e3 6. c8 f5 7. c2 c4 8. c7 c6 9. c4 d5 10. c6 d5 11. b1 c3 
144	D12	Slav Defense: Quiet Variation, Schallopp Defense	rn1qkb1r/pp2pppp/2p2n2/3p1b2/2PP4/4PN2/PP3PPP/RNBQKB1R w KQkq -	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 e2e3 c8f5	1. d2 d4 2. d7 d5 3. c2 c4 4. c7 c6 5. g1 f3 6. g8 f6 7. e2 e3 8. c8 f5 
145	D13	Slav Defense: Exchange Variation	rnbqkb1r/pp2pppp/5n2/3p4/3P4/5N2/PP2PPPP/RNBQKB1R w KQkq -	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 c4d5 c6d5	1. d2 d4 2. d7 d5 3. c2 c4 4. c7 c6 5. g1 f3 6. g8 f6 7. c4 d5 8. c6 d5 
146	D14	Slav Defense: Exchange Variation, Symmetrical Line	r2qkb1r/pp2pppp/2n2n2/3p1b2/3P1B2/2N2N2/PP2PPPP/R2QKB1R w KQkq -	d2d4 d7d5 c2c4 c7c6 c4d5 c6d5 b1c3 g8f6 g1f3 b8c6 c1f4 c8f5	1. d2 d4 2. d7 d5 3. c2 c4 4. c7 c6 5. c4 d5 6. c6 d5 7. b1 c3 8. g8 f6 9. g1 f3 10. b8 c6 11. c1 f4 12. c8 f5 
147	D14	Slav Defense: Exchange Variation, Trifunovic Variation	r2qk2r/pp3ppp/2n1pn2/3p1b2/1b1P1B2/1QN1PN2/PP3PPP/R3KB1R w KQkq -	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 c4d5 c6d5 b1c3 b8c6 c1f4 c8f5 e2e3 e7e6 d1b3 f8b4	1. d2 d4 2. d7 d5 3. c2 c4 4. c7 c6 5. g1 f3 6. g8 f6 7. c4 d5 8. c6 d5 9. b1 c3 10. b8 c6 11. c1 f4 12. c8 f5 13. e2 e3 14. e7 e6 15. d1 b3 16. f8 b4 
148	D15	Slav Defense: Alekhine Variation	rnbqkb1r/pp2pppp/2p2n2/8/2pP4/2N1PN2/PP3PPP/R1BQKB1R b KQkq -	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 e2e3	1. d2 d4 2. d7 d5 3. c2 c4 4. c7 c6 5. g1 f3 6. g8 f6 7. b1 c3 8. d5 c4 9. e2 e3 
149	D15	Slav Defense: Chameleon Variation, Advance System	rnbqkb1r/1p2pppp/p1p2n2/2Pp4/3P4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 a7a6 c4c5	1. d2 d4 2. d7 d5 3. c2 c4 4. c7 c6 5. g1 f3 6. g8 f6 7. b1 c3 8. a7 a6 9. c4 c5 
150	D15	Slav Defense: Chameleon Variation	rnbqkb1r/1p2pppp/p1p2n2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 a7a6	1. d2 d4 2. d7 d5 3. c2 c4 4. c7 c6 5. g1 f3 6. g8 f6 7. b1 c3 8. a7 a6 
151	D15	Slav Defense: Geller Gambit	rnbqkb1r/p3pppp/2p2n2/1p2P3/2pP4/2N2N2/PP3PPP/R1BQKB1R b KQkq -	d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 e2e4 b7b5 e4e5	1. d2 d4 2. d7 d5 3. c2 c4 4. c7 c6 5. g1 f3 6. g8 f6 7. b1 c3 8. d5 c4 9. e2 e4 10. b7 b5 11. e4 e5 
